,in_prod_name,pro_status_cd,status_list,category,3,5,12,no_numbers
0,FPSFJAA-D16-L200,39-11-10-3-203-202-4-40,"['39', '11', '10', '3', '203', '202', '4', '40']",2,1,0,0,FPSFJAA-D-L
1,FPSFJAA-D6-L68,3-201-4-11-200-10-40-39,"['3', '201', '4', '11', '200', '10', '40', '39']",1,1,0,0,FPSFJAA-D-L
2,FPSFJAA-D6-L68,3-11-4-40-39,"['3', '11', '4', '40', '39']",0,1,0,0,FPSFJAA-D-L
3,FPSFJAA-D6-L68,201-200-3-11-4-10-39-40,"['201', '200', '3', '11', '4', '10', '39', '40']",1,1,0,0,FPSFJAA-D-L
4,FPSFJAA-D6-L68,10-4-201-3-200-11-39-40,"['10', '4', '201', '3', '200', '11', '39', '40']",1,1,0,0,FPSFJAA-D-L
5,FPSFJAA-D8-L108.5,40-39-200-201-10-11,"['40', '39', '200', '201', '10', '11']",1,0,0,0,FPSFJAA-D-L.
6,FPSFJAA-D8-L108.5,40-39-201-200-10-11,"['40', '39', '201', '200', '10', '11']",1,0,0,0,FPSFJAA-D-L.
7,FPSFJAA-D8-L108.5,39-40-200-10-11-201,"['39', '40', '200', '10', '11', '201']",1,0,0,0,FPSFJAA-D-L.
8,FPSFJAA-D8-L108.5,39-40-201-10-11-200,"['39', '40', '201', '10', '11', '200']",1,0,0,0,FPSFJAA-D-L.
9,FPSFJAA-D8-L108.5,40-39-201-11-10-200,"['40', '39', '201', '11', '10', '200']",1,0,0,0,FPSFJAA-D-L.
10,FPSFJAA-D8-L108.5,40-39-10-11-201-200,"['40', '39', '10', '11', '201', '200']",1,0,0,0,FPSFJAA-D-L.
11,FPSFJAB-D10-L155-N6,39-200-11-10-201-40,"['39', '200', '11', '10', '201', '40']",1,0,0,0,FPSFJAB-D-L-N
12,FPSFJAB-D12-L120-N6,39-200-10-40-201-11,"['39', '200', '10', '40', '201', '11']",1,0,0,0,FPSFJAB-D-L-N
13,FPSFJAB-D12-L140-N5,40-39-11-10-201-200,"['40', '39', '11', '10', '201', '200']",1,0,0,0,FPSFJAB-D-L-N
14,FPSFJAB-D8-L50-N4,11-10-201-200-39-40,"['11', '10', '201', '200', '39', '40']",1,0,0,0,FPSFJAB-D-L-N
15,FPSFJAB-D8-L50-N4,11-201-200-10-40-39,"['11', '201', '200', '10', '40', '39']",1,0,0,0,FPSFJAB-D-L-N
16,FPSFJAB-D8-L50-N4,11-200-10-201-40-39,"['11', '200', '10', '201', '40', '39']",1,0,0,0,FPSFJAB-D-L-N
17,FPSFJAB-D8-L50-N4,11-201-10-200-39-40,"['11', '201', '10', '200', '39', '40']",1,0,0,0,FPSFJAB-D-L-N
18,FPSFJAC-D16-L50-T30-N10-S12,40-202-203-11-10-39,"['40', '202', '203', '11', '10', '39']",2,0,0,0,FPSFJAC-D-L-T-N-S
19,FPSFJAC-D25-L225-T19-N10-S16-SC200,203-12-202-3-13-431-430-39-11-4-40-10,"['203', '12', '202', '3', '13', '431', '430', '39', '11', '4', '40', '10']",2,1,0,1,FPSFJAC-D-L-T-N-S-SC
