sorted_string,most_popular_sequence,number_of_apperance
10-11-202-203-3-39-4-40,3-4-10-202-203-11-39-40,1285
10-11-12-13-202-203-3-39-4-40-430-431-5-6,3-4-5-6-10-202-203-11-12-430-13-431-39-40,233
10-11-200-201-39-40,10-200-201-11-39-40,1223
10-11-12-13-202-203-3-310-311-39-4-40,3-4-10-202-203-11-12-310-13-311-39-40,15
10-11-202-203-39-40,10-202-203-11-39-40,351
10-11-202-203-3-39-4-40-5-6,3-4-5-6-10-202-203-11-39-40,412
10-11-202-203-3-39-4-40-5,3-4-5-10-202-11-203-39-40,24
10-11-202-3-39-4-40,3-4-10-202-11-39-40,1
10-11-202-203-204-205-3-39-4-40,3-4-10-204-39-40-202-203-11-205,1
10-11-12-13-202-203-39-40-430-431,10-202-203-11-12-430-13-431-39-40,73
11-12-13-3-39-4-40-430-431-5-6,39-40-3-4-5-6-11-12-430-13-431,10
10-11-12-13-200-201-310-311-39-40,12-310-13-311-39-40-10-200-201-11,27
10-11-204-205-3-39-4-40,3-4-10-204-205-11-39-40,330
10-11-200-201-32-33-39-40,33-39-40-32-10-200-201-11,22
10-11-12-13-202-203-3-39-4-40-5-506-507-6,12-506-13-507-39-40-3-4-5-6-10-202-203-11,14
10-11-12-13-202-203-3-310-311-39-4-40-5-6,3-4-5-6-10-202-11-203-12-310-13-311-39-40,3
10-11-200-201-202-203-32-33-39-40,202-11-201-203-33-39-40-10-200-32,1
10-11-12-13-200-201-39-40-430-431,10-200-201-11-12-430-13-431-39-40,114
10-11-12-13-204-205-3-39-4-40-480-481,12-480-13-481-39-40-3-4-10-204-205-11,5
11-3-39-4-40,39-40-3-4-11,58
10-11-12-13-202-203-3-39-4-40-490-491-5-6,39-40-3-4-5-6-10-202-203-11-12-490-13-491,8
10-11-12-13-200-201-39-40-506-507,11-12-506-13-507-39-40-10-200-201,13
10-11-12-13-200-201-39-40-480-481,11-12-480-13-481-39-40-10-200-201,29
10-11-12-13-202-203-3-39-4-40-430-431,3-4-10-202-203-11-12-430-13-431-39-40,126
10-11-202-203-32-33-39-40,10-202-203-11-33-32-39-40,3
10-11-202-203-3-39-40,3-10-202-203-11-39-40,114
11-3-39-4-40-5-6,3-4-5-6-11-39-40,17
11-12-13-3-310-311-39-4-40,12-310-13-311-39-40-3-4-11,5
10-11-204-205-39-40,10-204-205-11-39-40,56
10-11-12-13-202-203-3-39-4-40-480-481,12-480-13-481-39-40-3-4-10-202-203-11,14
10-11-204-205-3-39-40,3-10-204-205-11-39-40,14
10-11-12-13-204-205-3-310-311-39-40,12-310-13-311-10-204-205-11-39-40-3,2
10-11-12-13-204-205-310-311-39-40,11-12-310-13-311-39-40-10-204-205,2
10-11-12-13-204-205-3-310-311-39-4-40,12-310-13-311-39-40-3-4-10-204-205-11,13
10-11-12-13-204-205-39-40-480-481,10-204-11-205-12-480-13-481-39-40,4
10-11-12-13-202-203-39-40-480-481,10-202-11-203-12-480-13-481-39-40,3
10-11-12-13-202-203-3-39-4-40-430-431-5,3-4-5-10-202-203-11-12-430-13-431-39-40,20
11-12-13-200-201-39-40-430-431-8,39-40-8-200-11-201-12-430-13-431,2
11-12-13-3-39-4-40-430-431,3-4-11-12-430-13-431-39-40,6
10-11-12-13-200-201-39-40-430-431-444-445,39-40-10-200-201-11-12-430-444-445-13-431,5
10-11-12-13-202-203-3-39-4-40-490-491,12-490-13-491-39-40-3-4-10-202-203-11,3
10-11-12-13-202-203-3-39-40-488-489,3-10-202-203-11-12-488-13-489-39-40,1
10-11-202-203-3-32-33-39-4-40,3-4-33-39-40-10-202-203-11-32,5
