client_cd,order_cd,pro_seq,pro_status_cd
22,14358,1,3-4-10-202-11-203-39-40
22,14733,1,3-4-10-202-203-11-39-40
42,22941,1,3-4-5-6-10-202-39-40-203-11-12-430-13-431
42,22942,1,39-40-11-203-12-430-13-431-3-4-5-6-10-202
91,47143,1,39-40-10-200-201-11
91,47413,1,3-4-10-202-203-11-12-310-13-311-39-40
91,47733,1,10-202-11-203-39-40-3-4
91,47734,1,39-40-3-4-10-202-203-11
91,48228,1,203-11-39-40-10-202
96,446,1,12-430-13-431-3-4-39-40-5-6-10-202-203-11
96,468,1,3-4-10-202-203-11-39-40
108,7502,1,203-11-39-40-10-202-3-4-5-6
108,7502,2,10-202-203-11-39-40-3-4-5-6
154,49663,1,3-4-10-202-203-11-39-40
154,49664,1,3-4-10-202-203-11-39-40
154,49805,1,11-39-40-203-3-4-5-6-10-202
154,49806,1,203-11-39-40-10-202-3-4-5-6
154,50181,1,10-200-11-201-39-40
154,50653,1,11-39-40-10-202-203
154,50820,1,10-200-201-11-39-40
154,50824,1,10-202-11-203-39-40-3-4-5
225,593,1,10-202-203-3-4-11-39-40
225,607,1,3-4-10-202-203-11-39-40
225,608,1,3-4-10-202-203-11-39-40
228,1843,1,3-10-202-203-11-39-40-4
228,1979,1,3-4-10-202-11-39-40
239,3430,1,10-200-201-11-39-40
239,3431,1,10-200-201-11-39-40
239,3432,1,3-4-10-204-39-40-202-203-11-205
239,3526,1,203-3-4-5-6-10-202-11-39-40
239,3562,1,39-40-10-202-203-11
266,51307,1,3-4-10-202-203-11-39-40
266,52304,1,39-40-10-200-201-11
266,52304,2,39-40-10-200-201-11
266,52304,3,39-40-10-200-201-11
266,52488,1,3-4-5-6-10-202-203-11-39-40
266,52516,1,3-4-5-6-10-202-203-11-39-40
266,53889,1,3-4-5-6-10-202-203-11-39-40
266,53890,1,3-4-5-6-10-202-203-11-39-40
266,53984,1,10-202-203-11-12-430-13-431-39-40
266,53984,2,10-202-11-203-12-430-13-431-39-40
266,54162,1,39-40-3-4-5-6-11-12-13-430-431
293,16206,1,12-430-13-431-39-40-3-4-5-6-10-202-11-203
293,16292,1,12-430-13-431-39-40-3-4-5-6-10-202-11-203
293,16400,1,10-200-201-11-39-40
293,16401,1,10-202-11-203-39-40-3-4-5-6
293,16402,1,10-200-12-310-13-311-39-40-201-11
339,111976,1,10-200-201-39-40-11
339,111976,2,10-200-201-39-40-11
